                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0258,                0.72224,                  1.362,                0.97154,                0.98156,                0.99265,                 0.7645,                0.89744,                 0.5309,                 1.2479,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.0288,                0.69569,                 1.3467,                0.96421,                0.97437,                0.99013,                0.74909,                 0.9204,                 0.5403,                 1.2616,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.0239,                0.68417,                 1.3427,                0.97539,                0.98517,                0.99324,                0.74654,                  0.921,                0.53983,                 1.2861,             0.00091885,             0.00091885,             0.00091885
                     70,                 0.9843,                0.67824,                 1.3308,                0.97554,                0.98338,                0.99288,                 0.7766,                 0.8853,                0.48947,                 1.2283,             0.00090785,             0.00090785,             0.00090785
                     71,                 1.0648,                0.71479,                 1.3823,                 0.9582,                0.98732,                0.99115,                0.77354,                0.85918,                0.51318,                 1.2175,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.0548,                0.69517,                 1.3775,                0.97722,                0.98418,                0.99192,                0.78147,                0.83559,                0.49007,                 1.2021,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.0008,                0.65238,                 1.3264,                0.97056,                0.98949,                0.99294,                0.76895,                0.88223,                0.49718,                 1.2318,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.0158,                0.65677,                 1.3363,                0.98606,                0.98596,                0.99356,                0.78193,                 0.8447,                0.48803,                   1.21,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.0253,                 0.6515,                  1.358,                0.97535,                0.99186,                0.99189,                  0.779,                0.84144,                0.55041,                 1.2118,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.0194,                0.66992,                 1.3272,                0.97765,                 0.9835,                0.99166,                0.79157,                0.81803,                0.48071,                 1.1925,             0.00084184,             0.00084184,             0.00084184
                     77,                0.97176,                0.64795,                 1.3095,                0.97414,                0.98753,                0.99284,                 0.7846,                0.83076,                0.47425,                 1.2017,             0.00083083,             0.00083083,             0.00083083
                     78,                 0.9798,                0.63039,                 1.3138,                0.97393,                0.98913,                0.99284,                0.78401,                0.84622,                0.49644,                 1.2097,             0.00081983,             0.00081983,             0.00081983
                     79,                0.98027,                0.64246,                  1.319,                0.97643,                0.99274,                0.99311,                 0.7893,                0.82037,                0.46335,                 1.1987,             0.00080883,             0.00080883,             0.00080883
                     80,                 0.9608,                0.62798,                 1.3082,                 0.9544,                 0.9893,                0.99132,                0.78318,                 0.8277,                  0.513,                 1.1886,             0.00079783,             0.00079783,             0.00079783
                     81,                 0.9661,                0.62925,                 1.2971,                0.97643,                0.99078,                0.99269,                0.78731,                0.82777,                0.46704,                 1.1831,             0.00078682,             0.00078682,             0.00078682
                     82,                0.97211,                 0.6451,                  1.304,                0.97889,                 0.9906,                0.99285,                0.78391,                0.82069,                0.46614,                 1.1778,             0.00077582,             0.00077582,             0.00077582
                     83,                0.98229,                0.66666,                 1.3104,                0.97242,                0.98903,                0.99237,                0.77961,                0.83797,                0.48211,                 1.1998,             0.00076482,             0.00076482,             0.00076482
                     84,                0.96973,                0.62083,                 1.3049,                0.97876,                0.98477,                  0.994,                0.78978,                0.80641,                 0.4543,                  1.175,             0.00075382,             0.00075382,             0.00075382
                     85,                0.97636,                0.64934,                 1.3123,                0.97846,                0.99258,                0.99381,                0.79057,                0.80675,                0.45755,                 1.1679,             0.00074282,             0.00074282,             0.00074282
                     86,                0.97479,                0.62782,                 1.3071,                0.97904,                0.99154,                0.99357,                0.78503,                0.80643,                0.46467,                 1.1738,             0.00073181,             0.00073181,             0.00073181
                     87,                0.95113,                 0.6305,                 1.2896,                0.96999,                0.99493,                0.99389,                0.79784,                0.80773,                0.44436,                 1.1794,             0.00072081,             0.00072081,             0.00072081
                     88,                0.96888,                0.61577,                 1.2852,                0.97396,                0.99164,                0.99277,                0.79379,                0.80366,                0.45145,                 1.1736,             0.00070981,             0.00070981,             0.00070981
                     89,                0.97014,                0.62695,                 1.3013,                0.98372,                0.98442,                0.99305,                0.80245,                0.79761,                0.44127,                 1.1731,             0.00069881,             0.00069881,             0.00069881
                     90,                0.93724,                0.59274,                 1.2788,                0.98036,                0.99222,                0.99262,                0.79862,                0.80267,                0.43833,                 1.1709,              0.0006878,              0.0006878,              0.0006878
                     91,                0.96188,                0.60803,                 1.3126,                0.97252,                0.99099,                0.99114,                0.79703,                0.79912,                0.44671,                 1.1561,              0.0006768,              0.0006768,              0.0006768
                     92,                0.97908,                0.61231,                 1.2923,                0.98555,                0.98781,                0.99394,                 0.7995,                0.77324,                0.43278,                  1.145,              0.0006658,              0.0006658,              0.0006658
                     93,                0.95637,                0.60275,                 1.2815,                0.97943,                0.99249,                0.99404,                0.80065,                0.79611,                 0.4467,                 1.1676,              0.0006548,              0.0006548,              0.0006548
                     94,                0.92591,                0.60054,                 1.2897,                0.98049,                0.98928,                0.99399,                  0.802,                0.78959,                0.42376,                 1.1595,              0.0006438,              0.0006438,              0.0006438
                     95,                0.94541,                0.59444,                 1.2784,                0.97953,                0.98949,                0.99447,                  0.801,                0.77148,                0.43483,                 1.1513,             0.00063279,             0.00063279,             0.00063279
                     96,                0.96361,                0.59075,                  1.285,                 0.9739,                0.99108,                0.99374,                0.80225,                0.78593,                 0.4315,                 1.1514,             0.00062179,             0.00062179,             0.00062179
                     97,                0.91176,                0.56173,                 1.2607,                0.97904,                0.98971,                0.99428,                0.79327,                0.80318,                0.42902,                 1.1777,             0.00061079,             0.00061079,             0.00061079
                     98,                0.93347,                0.59865,                 1.2852,                0.97668,                0.98444,                0.99283,                0.79892,                0.79834,                0.43639,                 1.1645,             0.00059979,             0.00059979,             0.00059979
                     99,                0.97712,                0.60382,                 1.3087,                0.98158,                 0.9809,                0.99347,                0.79911,                0.78737,                0.44786,                 1.1597,             0.00058878,             0.00058878,             0.00058878
                    100,                0.93647,                0.60674,                 1.2736,                0.98237,                0.98895,                0.99365,                0.79991,                0.78519,                0.43154,                 1.1564,             0.00057778,             0.00057778,             0.00057778
                    101,                0.91841,                0.58058,                 1.2506,                 0.9756,                0.99217,                0.99398,                0.81052,                0.77256,                0.41852,                 1.1496,             0.00056678,             0.00056678,             0.00056678
                    102,                0.89713,                0.58698,                 1.2588,                0.98305,                0.98896,                0.99441,                0.80732,                0.76958,                0.41902,                 1.1411,             0.00055578,             0.00055578,             0.00055578
                    103,                0.89634,                0.56614,                  1.246,                0.98256,                0.99239,                0.99399,                0.80864,                0.76151,                0.42198,                 1.1318,             0.00054478,             0.00054478,             0.00054478
                    104,                0.89802,                0.54541,                 1.2228,                0.97371,                0.98801,                0.99282,                0.81249,                0.76295,                0.41054,                 1.1345,             0.00053377,             0.00053377,             0.00053377
                    105,                0.90624,                0.54164,                 1.2483,                0.98127,                0.99498,                 0.9937,                0.81393,                0.75111,                0.40477,                 1.1299,             0.00052277,             0.00052277,             0.00052277
                    106,                0.91363,                0.54917,                 1.2549,                0.97749,                 0.9933,                0.99338,                0.80241,                0.77409,                0.41531,                 1.1511,             0.00051177,             0.00051177,             0.00051177
                    107,                0.92718,                 0.5766,                 1.2705,                0.98287,                0.98949,                0.99409,                0.80065,                0.78558,                0.41573,                 1.1602,             0.00050077,             0.00050077,             0.00050077
                    108,                0.89148,                0.55676,                 1.2452,                0.97639,                0.99366,                0.99404,                0.80878,                0.76975,                0.40716,                 1.1394,             0.00048976,             0.00048976,             0.00048976
                    109,                0.88929,                0.54985,                 1.2427,                0.98267,                0.99549,                0.99361,                0.81703,                0.74168,                0.39568,                 1.1277,             0.00047876,             0.00047876,             0.00047876
                    110,                0.88908,                0.53686,                 1.2375,                0.98162,                 0.9941,                0.99342,                0.81593,                0.75425,                0.40128,                 1.1323,             0.00046776,             0.00046776,             0.00046776
                    111,                0.90305,                0.54897,                  1.246,                0.97438,                0.99036,                0.99421,                0.81156,                0.74726,                0.40079,                 1.1246,             0.00045676,             0.00045676,             0.00045676
                    112,                0.89355,                0.54755,                 1.2294,                0.98141,                0.99249,                0.99408,                0.80432,                0.79282,                0.41528,                 1.1408,             0.00044576,             0.00044576,             0.00044576
                    113,                0.87147,                 0.5441,                  1.228,                0.97652,                0.99471,                0.99432,                0.81309,                0.74068,                0.40729,                 1.1242,             0.00043475,             0.00043475,             0.00043475
                    114,                0.89538,                0.55379,                 1.2591,                0.98845,                 0.9931,                0.99475,                0.81718,                0.74929,                0.40637,                   1.13,             0.00042375,             0.00042375,             0.00042375
                    115,                0.88606,                 0.5353,                 1.2236,                 0.9874,                 0.9933,                0.99425,                 0.8171,                0.72826,                0.39464,                 1.1083,             0.00041275,             0.00041275,             0.00041275
                    116,                 0.8567,                0.52057,                 1.2142,                0.98255,                0.99039,                0.99466,                0.82854,                 0.7151,                0.38701,                 1.1054,             0.00040175,             0.00040175,             0.00040175
                    117,                0.85683,                0.52419,                 1.2291,                0.98537,                0.99399,                0.99457,                0.82295,                0.72228,                0.38997,                 1.1115,             0.00039074,             0.00039074,             0.00039074
                    118,                0.86129,                0.52835,                 1.2188,                0.98109,                 0.9932,                0.99479,                0.81822,                0.73848,                 0.3886,                 1.1206,             0.00037974,             0.00037974,             0.00037974
                    119,                0.88939,                0.52721,                 1.2335,                 0.9837,                0.99249,                0.99473,                0.82258,                0.72597,                0.38671,                 1.1105,             0.00036874,             0.00036874,             0.00036874
                    120,                0.85539,                0.51614,                 1.2223,                0.98969,                0.99389,                0.99462,                0.82386,                0.71875,                0.37482,                 1.1053,             0.00035774,             0.00035774,             0.00035774
                    121,                0.88016,                0.52364,                 1.2367,                0.98255,                0.99493,                0.99467,                0.82655,                0.72062,                0.37781,                 1.1072,             0.00034674,             0.00034674,             0.00034674
                    122,                0.87164,                0.53845,                 1.2284,                0.99225,                0.99096,                0.99487,                0.82249,                0.72017,                0.37952,                 1.1119,             0.00033573,             0.00033573,             0.00033573
                    123,                0.87273,                0.52856,                 1.2163,                0.98073,                0.99434,                0.99478,                0.82231,                0.74193,                0.38144,                 1.1183,             0.00032473,             0.00032473,             0.00032473
                    124,                0.86222,                0.54035,                 1.2017,                0.98917,                 0.9955,                  0.995,                0.82392,                0.72449,                0.38562,                 1.1068,             0.00031373,             0.00031373,             0.00031373
                    125,                0.84912,                0.52177,                 1.2076,                0.98668,                 0.9955,                0.99491,                0.82574,                0.70936,                0.37481,                    1.1,             0.00030273,             0.00030273,             0.00030273
                    126,                0.84194,                0.51455,                 1.2136,                 0.9818,                 0.9955,                0.99482,                0.82969,                0.71045,                0.37246,                 1.0944,             0.00029172,             0.00029172,             0.00029172
                    127,                0.86942,                0.52554,                 1.2138,                0.98516,                0.99409,                0.99457,                 0.8275,                0.70859,                0.37401,                 1.0918,             0.00028072,             0.00028072,             0.00028072
                    128,                0.84601,                0.51459,                 1.1995,                0.98635,                0.99249,                0.99434,                0.82761,                0.70645,                0.37849,                 1.0927,             0.00026972,             0.00026972,             0.00026972
                    129,                0.84246,                0.52146,                 1.1979,                0.99155,                0.99389,                0.99484,                0.83519,                 0.6966,                0.36936,                 1.0888,             0.00025872,             0.00025872,             0.00025872
                    130,                0.84078,                0.50694,                 1.2031,                0.98271,                0.99484,                0.99487,                0.84311,                0.69164,                0.36363,                 1.0799,             0.00024772,             0.00024772,             0.00024772
                    131,                0.82074,                0.48979,                 1.1886,                0.98885,                 0.9955,                0.99465,                0.82984,                0.69639,                0.37009,                 1.0848,             0.00023671,             0.00023671,             0.00023671
                    132,                0.83407,                0.49121,                 1.1985,                0.98427,                 0.9955,                0.99476,                 0.8351,                0.68537,                0.36133,                 1.0831,             0.00022571,             0.00022571,             0.00022571
                    133,                0.83345,                0.49792,                 1.2059,                0.98101,                 0.9955,                0.99473,                 0.8333,                0.69073,                0.36632,                 1.0856,             0.00021471,             0.00021471,             0.00021471
                    134,                0.83202,                0.49515,                  1.203,                0.99103,                0.99434,                0.99487,                0.82831,                0.69988,                0.36096,                 1.0923,             0.00020371,             0.00020371,             0.00020371
                    135,                0.82574,                0.48827,                 1.2033,                0.98854,                0.99132,                0.99486,                 0.8379,                0.68644,                0.36054,                 1.0792,             0.00019271,             0.00019271,             0.00019271
                    136,                0.83314,                0.50215,                 1.2076,                0.99703,                0.99257,                0.99495,                0.83608,                0.69909,                0.35624,                 1.0853,              0.0001817,              0.0001817,              0.0001817
                    137,                0.82372,                0.50088,                 1.1891,                0.99306,                0.99383,                0.99498,                0.83893,                0.69364,                0.35317,                 1.0824,              0.0001707,              0.0001707,              0.0001707
                    138,                0.80285,                0.49297,                 1.1835,                0.98155,                 0.9955,                0.99481,                0.84062,                0.68545,                0.36167,                 1.0794,              0.0001597,              0.0001597,              0.0001597
                    139,                0.80183,                0.48311,                 1.1832,                 0.9894,                 0.9955,                0.99489,                0.84274,                0.68023,                0.35031,                 1.0737,              0.0001487,              0.0001487,              0.0001487
                    140,                0.75298,                0.43472,                 1.1248,                0.99355,                0.99373,                0.99471,                0.83694,                0.67958,                0.35937,                 1.0734,             0.00013769,             0.00013769,             0.00013769
                    141,                0.75747,                0.41779,                 1.1242,                0.98987,                0.99494,                0.99479,                0.83456,                0.68145,                0.35891,                 1.0738,             0.00012669,             0.00012669,             0.00012669
                    142,                0.74136,                0.40387,                 1.1274,                0.99406,                0.99365,                0.99482,                0.83257,                0.68377,                0.35704,                 1.0778,             0.00011569,             0.00011569,             0.00011569
                    143,                0.73052,                0.40669,                 1.1157,                0.99299,                0.99502,                 0.9949,                0.84154,                0.67805,                0.35381,                 1.0714,             0.00010469,             0.00010469,             0.00010469
                    144,                0.73723,                0.40403,                 1.1115,                0.99193,                0.99399,                0.99489,                0.84243,                0.67314,                0.35108,                 1.0703,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.72922,                0.38982,                 1.1078,                0.99312,                0.99399,                0.99491,                0.84138,                 0.6705,                0.34986,                 1.0667,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.72244,                0.38616,                 1.0999,                0.99086,                 0.9955,                 0.9949,                0.84002,                0.67149,                0.34998,                 1.0673,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.70855,                 0.3826,                 1.1105,                0.99159,                0.99495,                0.99492,                0.83806,                0.66734,                0.34965,                 1.0684,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.71613,                0.38363,                 1.1006,                0.99034,                0.99399,                0.99486,                0.84314,                0.66087,                0.34908,                 1.0642,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.71656,                0.38157,                 1.0994,                0.99298,                0.99392,                0.99495,                0.84501,                0.66109,                0.34777,                 1.0633,             3.8674e-05,             3.8674e-05,             3.8674e-05
